date,heat_runtime,cool_runtime,auxiliary_heat_runtime_00,emergency_heat_runtime_00,cooling_setpoint_00,heating_setpoint_00,temp_in_00,auxiliary_heat_runtime_01,emergency_heat_runtime_01,cooling_setpoint_01,heating_setpoint_01,temp_in_01,auxiliary_heat_runtime_02,emergency_heat_runtime_02,cooling_setpoint_02,heating_setpoint_02,temp_in_02,auxiliary_heat_runtime_03,emergency_heat_runtime_03,cooling_setpoint_03,heating_setpoint_03,temp_in_03,auxiliary_heat_runtime_04,emergency_heat_runtime_04,cooling_setpoint_04,heating_setpoint_04,temp_in_04,auxiliary_heat_runtime_05,emergency_heat_runtime_05,cooling_setpoint_05,heating_setpoint_05,temp_in_05,auxiliary_heat_runtime_06,emergency_heat_runtime_06,cooling_setpoint_06,heating_setpoint_06,temp_in_06,auxiliary_heat_runtime_07,emergency_heat_runtime_07,cooling_setpoint_07,heating_setpoint_07,temp_in_07,auxiliary_heat_runtime_08,emergency_heat_runtime_08,cooling_setpoint_08,heating_setpoint_08,temp_in_08,auxiliary_heat_runtime_09,emergency_heat_runtime_09,cooling_setpoint_09,heating_setpoint_09,temp_in_09,auxiliary_heat_runtime_10,emergency_heat_runtime_10,cooling_setpoint_10,heating_setpoint_10,temp_in_10,auxiliary_heat_runtime_11,emergency_heat_runtime_11,cooling_setpoint_11,heating_setpoint_11,temp_in_11,auxiliary_heat_runtime_12,emergency_heat_runtime_12,cooling_setpoint_12,heating_setpoint_12,temp_in_12,auxiliary_heat_runtime_13,emergency_heat_runtime_13,cooling_setpoint_13,heating_setpoint_13,temp_in_13,auxiliary_heat_runtime_14,emergency_heat_runtime_14,cooling_setpoint_14,heating_setpoint_14,temp_in_14,auxiliary_heat_runtime_15,emergency_heat_runtime_15,cooling_setpoint_15,heating_setpoint_15,temp_in_15,auxiliary_heat_runtime_16,emergency_heat_runtime_16,cooling_setpoint_16,heating_setpoint_16,temp_in_16,auxiliary_heat_runtime_17,emergency_heat_runtime_17,cooling_setpoint_17,heating_setpoint_17,temp_in_17,auxiliary_heat_runtime_18,emergency_heat_runtime_18,cooling_setpoint_18,heating_setpoint_18,temp_in_18,auxiliary_heat_runtime_19,emergency_heat_runtime_19,cooling_setpoint_19,heating_setpoint_19,temp_in_19,auxiliary_heat_runtime_20,emergency_heat_runtime_20,cooling_setpoint_20,heating_setpoint_20,temp_in_20,auxiliary_heat_runtime_21,emergency_heat_runtime_21,cooling_setpoint_21,heating_setpoint_21,temp_in_21,auxiliary_heat_runtime_22,emergency_heat_runtime_22,cooling_setpoint_22,heating_setpoint_22,temp_in_22,auxiliary_heat_runtime_23,emergency_heat_runtime_23,cooling_setpoint_23,heating_setpoint_23,temp_in_23
2024-04-26,582.17,0.0,0,0,78.0,78.0,67.0,0,0,78.0,78.0,67.0,0,0,78.0,78.0,67.0,0,0,78.0,78.0,67.0,0,0,78.0,78.0,67.0,0,0,78.0,78.0,67.0,0,0,78.0,78.0,67.0,0,0,78.0,78.0,67.0,0,0,78.0,78.0,67.0,0,0,78.0,78.0,67.0,0,0,78.0,78.0,67.0,0,0,78.0,78.0,67.0,0,0,78.0,78.0,67.0,0,0,78.0,78.0,67.0,0,0,66.71,66.71,65.9,0,0,59.0,59.0,62.78,0,0,59.0,59.0,63.0,0,0,59.0,59.0,65.4,0,0,59.0,59.0,71.5,0,0,59.0,59.0,72.0,0,0,59.0,59.0,72.3,0,0,59.0,59.0,73.0,0,0,59.0,59.0,72.67,0,0,59.0,59.0,72.0
2024-04-27,1435.97,0.0,0,0,59.0,59.0,72.0,0,0,59.0,59.0,72.0,0,0,59.0,59.0,72.0,0,0,59.0,59.0,72.5,0,0,59.0,59.0,72.73,0,0,59.0,59.0,68.0,0,0,59.0,59.0,65.5,0,0,59.0,59.0,64.75,0,0,59.0,59.0,65.56,0,0,59.0,59.0,66.0,0,0,59.0,59.0,66.0,0,0,59.0,59.0,65.0,0,0,59.0,59.0,65.9,0,0,59.0,59.0,67.91,0,0,59.0,59.0,69.0,0,0,59.0,59.0,69.33,0,0,59.0,59.0,70.0,0,0,59.0,59.0,70.0,0,0,59.0,59.0,70.0,0,0,59.0,59.0,70.0,0,0,59.0,59.0,70.78,0,0,59.0,59.0,71.0,0,0,59.0,59.0,71.0,0,0,59.0,59.0,71.0
2024-04-28,1445.65,0.0,0,0,59.0,59.0,71.0,0,0,59.0,59.0,71.0,0,0,59.0,59.0,71.0,0,0,59.0,59.0,70.45,0,0,59.0,59.0,70.0,0,0,59.0,59.0,67.18,0,0,59.0,59.0,64.75,0,0,59.0,59.0,65.0,0,0,59.0,59.0,65.0,0,0,59.0,59.0,64.5,0,0,59.0,59.0,64.0,0,0,59.0,59.0,64.0,0,0,59.0,59.0,66.73,0,0,59.0,59.0,68.0,0,0,59.0,59.0,68.0,0,0,59.0,59.0,68.0,0,0,59.0,59.0,69.0,0,0,59.0,59.0,69.0,0,0,59.0,59.0,69.0,0,0,59.0,59.0,70.0,0,0,59.0,59.0,70.0,0,0,59.0,59.0,70.0,0,0,59.0,59.0,70.0,0,0,59.0,59.0,70.64
2024-04-29,1441.62,0.0,0,0,59.0,59.0,71.0,0,0,59.0,59.0,71.0,0,0,59.0,59.0,71.0,0,0,59.0,59.0,71.0,0,0,59.0,59.0,71.0,0,0,59.0,59.0,71.0,0,0,59.0,59.0,71.0,0,0,59.0,59.0,71.0,0,0,59.0,59.0,70.2,0,0,59.0,59.0,70.0,0,0,59.0,59.0,70.0,0,0,59.0,59.0,70.0,0,0,59.0,59.0,70.0,0,0,59.0,59.0,70.33,0,0,59.0,59.0,71.0,0,0,59.0,59.0,71.0,0,0,59.0,59.0,71.0,0,0,59.0,59.0,71.0,0,0,59.0,59.0,71.0,0,0,59.0,59.0,71.0,0,0,59.0,59.0,71.0,0,0,59.0,59.0,71.0,0,0,59.0,59.0,71.0,0,0,59.0,59.0,71.0
2024-04-30,1426.67,0.0,0,0,59.0,59.0,71.0,0,0,59.0,59.0,71.0,0,0,59.0,59.0,71.0,0,0,59.0,59.0,71.0,0,0,59.0,59.0,70.44,0,0,59.0,59.0,70.0,0,0,59.0,59.0,70.0,0,0,59.0,59.0,70.0,0,0,59.0,59.0,70.0,0,0,59.0,59.0,70.0,0,0,59.0,59.0,69.67,0,0,59.0,59.0,69.0,0,0,59.0,59.0,70.0,0,0,59.0,59.0,70.78,0,0,59.0,59.0,71.0,0,0,59.0,59.0,71.9,0,0,59.0,59.0,72.0,0,0,59.0,59.0,72.0,0,0,59.0,59.0,72.0,0,0,68.5,68.5,72.0,0,0,69.0,69.0,72.9,0,0,67.0,67.0,73.0,0,0,67.0,67.0,70.55,0,0,67.0,67.0,68.0
2024-05-01,1205.83,234.72,0,0,67.0,67.0,67.33,0,0,67.0,67.0,67.55,0,0,67.0,67.0,68.0,0,0,67.0,67.0,67.2,0,0,67.0,67.0,67.8,0,0,67.0,67.0,68.0,0,0,67.0,67.0,67.9,0,0,67.0,67.0,66.3,0,0,67.0,67.0,67.64,0,0,67.0,67.0,68.64,0,0,67.0,67.0,69.0,0,0,67.0,67.0,69.0,0,0,67.0,67.0,69.0,0,0,67.0,67.0,69.1,0,0,67.0,67.0,70.73,0,0,67.0,67.0,72.0,0,0,67.0,67.0,72.0,0,0,67.0,67.0,72.0,0,0,68.0,68.0,72.0,0,0,69.33,69.33,48.77,0,0,68.0,68.0,49.2,0,0,69.0,69.0,68.33,0,0,69.0,69.0,67.0,0,0,69.0,69.0,67.25
2024-05-02,530.95,915.58,0,0,69.0,69.0,57.46,0,0,69.0,69.0,66.22,0,0,69.0,69.0,66.0,0,0,69.0,69.0,66.0,0,0,69.0,69.0,66.0,0,0,69.0,69.0,66.0,0,0,69.0,69.0,66.0,0,0,69.0,69.0,65.73,0,0,69.0,69.0,67.1,0,0,69.0,69.0,68.0,0,0,69.0,69.0,68.56,0,0,69.0,69.0,69.0,0,0,69.0,69.0,69.0,0,0,69.0,69.0,69.3,0,0,69.0,69.0,67.55,0,0,69.0,69.0,44.0,0,0,68.0,68.0,67.31,0,0,68.0,68.0,67.42,0,0,68.0,68.0,67.0,0,0,68.0,68.0,67.0,0,0,68.0,68.0,67.75,0,0,68.0,68.0,67.83,0,0,68.0,68.0,68.25,0,0,68.0,68.0,67.17
2024-05-03,349.68,1089.63,0,0,68.0,68.0,69.0,0,0,68.0,68.0,67.0,0,0,68.0,68.0,67.0,0,0,68.0,68.0,67.0,0,0,68.0,68.0,67.0,0,0,68.0,68.0,67.0,0,0,68.0,68.0,66.89,0,0,68.0,68.0,67.17,0,0,68.0,68.0,68.0,0,0,68.0,68.0,68.08,0,0,68.0,68.0,69.0,0,0,68.0,68.0,69.0,0,0,68.0,68.0,69.25,0,0,68.0,68.0,67.91,0,0,68.0,68.0,67.0,0,0,68.0,68.0,67.0,0,0,68.0,68.0,67.0,0,0,68.0,68.0,67.0,0,0,68.0,68.0,67.0,0,0,68.0,68.0,67.0,0,0,68.0,68.0,67.0,0,0,68.0,68.0,67.0,0,0,68.0,68.0,67.0,0,0,68.0,68.0,67.0
2024-05-04,819.37,617.78,0,0,68.0,68.0,67.0,0,0,68.0,68.0,67.0,0,0,68.0,68.0,67.0,0,0,68.0,68.0,67.0,0,0,68.0,68.0,67.0,0,0,68.0,68.0,47.86,0,0,73.64,73.64,63.88,0,0,73.0,73.0,69.73,0,0,73.0,73.0,70.23,0,0,73.0,73.0,71.0,0,0,73.0,73.0,71.0,0,0,73.0,73.0,71.1,0,0,73.0,73.0,72.0,0,0,73.0,73.0,72.0,0,0,73.0,73.0,72.77,0,0,73.0,73.0,73.0,0,0,73.0,73.0,73.0,0,0,73.0,73.0,73.5,0,0,73.0,73.0,74.0,0,0,67.0,67.0,62.46,0,0,77.0,77.0,72.0,0,0,77.0,77.0,72.0,0,0,77.0,77.0,72.0,0,0,77.0,77.0,71.67
2024-05-05,618.7,820.05,0,0,77.0,77.0,71.0,0,0,77.0,77.0,70.67,0,0,76.0,76.0,70.0,0,0,70.5,70.5,58.38,0,0,74.0,74.0,67.56,0,0,62.0,62.0,67.33,0,0,62.0,62.0,67.0,0,0,69.0,69.0,66.9,0,0,62.0,62.0,67.0,0,0,66.67,66.67,66.64,0,0,66.25,66.25,66.69,0,0,69.67,69.67,59.12,0,0,64.0,64.0,69.0,0,0,64.0,64.0,69.33,0,0,64.0,64.0,70.6,0,0,64.0,64.0,71.0,0,0,76.0,76.0,71.27,0,0,76.0,76.0,71.0,0,0,76.0,76.0,71.0,0,0,69.0,69.0,70.75,0,0,71.5,71.5,70.27,0,0,70.33,70.33,70.15,0,0,75.0,75.0,70.0,0,0,71.5,71.5,70.25
