thermostat_id,equipment_type,zipcode,utc_offset,interval_data_filename
5443B2FB2F34,2,60611,-8,thermo_5443b2-fb2f34-hotoDE.csv
E465B87E8B4C,3,93308,-8,thermo_e465b8-7e8b4c-4P6l2B.csv
A842E3B079B4,3,97502,-8,thermo_a842e3-b079b4-0DgoDg.csv
A842E3B07B68,1,97502,-8,thermo_a842e3-b07b68-AuJgHj.csv
A842E3B0EF2C,3,95132,-8,thermo_a842e3-b0ef2c-p0ebNd.csv
D48AFC6595CC,3,91306,-8,thermo_d48afc-6595cc-QsVZpc.csv
C82E181B5B90,1,93675,-8,thermo_c82e18-1b5b90-woDIvb.csv
A842E3B0767C,3,97333,-8,thermo_a842e3-b0767c-QcFYbb.csv
A842E3B079A0,3,92225,-8,thermo_a842e3-b079a0-ZKXQa8.csv
A842E3B07A88,3,92264,-8,thermo_a842e3-b07a88-GI8f6f.csv
A842E3B07C28,3,93022,-8,thermo_a842e3-b07c28-xx2GT8.csv
A842E3B0779C,3,95358,-8,thermo_a842e3-b0779c-iloduB.csv
C82E181B57F0,4,83835,-8,thermo_c82e18-1b57f0-0aWw2K.csv
A842E3B11934,3,92657,-8,thermo_a842e3-b11934-8ulVgB.csv
E86BEADC8D60,3,92657,-8,thermo_e86bea-dc8d60-qbydP5.csv
C82E181B5948,3,98686,-8,thermo_c82e18-1b5948-QVBmuU.csv
30C922A3E204,3,92071,-8,thermo_30c922-a3e204-z9ggLI.csv
C82E181B5A94,3,95746,-8,thermo_c82e18-1b5a94-1VpSEo.csv
A842E3B07838,3,93312,-8,thermo_a842e3-b07838-0fQal0.csv
A842E3B0794C,3,93312,-8,thermo_a842e3-b0794c-dndSfZ.csv
C82E181B5E84,3,94561,-8,thermo_c82e18-1b5e84-O33r90.csv
D48AFC659598,3,94806,-8,thermo_d48afc-659598-HFX8c2.csv
30C922A3C3B4,3,91775,-8,thermo_30c922-a3c3b4-Sisyu7.csv
30C922A3CBD4,2,92082,-8,thermo_30c922-a3cbd4-mtWWLY.csv
A842E3B07924,3,92563,-8,thermo_a842e3-b07924-ZX2BPO.csv
30C922A3D4A8,3,94506,-8,thermo_30c922-a3d4a8-FunepW.csv
A842E3B078F0,3,95677,-8,thermo_a842e3-b078f0-dHufqg.csv
30C922A3F6AC,1,91762,-8,thermo_30c922-a3f6ac-Mjgsmk.csv
30C922A3D634,1,98382,-8,thermo_30c922-a3d634-DLzBsu.csv
A842E3B07CCC,1,97526,-8,thermo_a842e3-b07ccc-R19ACR.csv
30C922A3D11C,3,97702,-8,thermo_30c922-a3d11c-hkcSkG.csv
D48AFC659FE0,3,89012,-8,thermo_d48afc-659fe0-pQNsJ4.csv
E465B87EDB74,3,91750,-8,thermo_e465b8-7edb74-yheLQB.csv
D48AFC6592A4,3,89012,-8,thermo_d48afc-6592a4-UZPEVm.csv
30C922A3FC9C,3,93728,-8,thermo_30c922-a3fc9c-LVJGg7.csv
D48AFC65836C,2,92673,-8,thermo_d48afc-65836c-V32u7g.csv
E86BEADC9094,3,91505,-8,thermo_e86bea-dc9094-9y4Zxr.csv
D48AFC659984,3,91505,-8,thermo_d48afc-659984-3gxduy.csv
30C922A3DAF4,3,92807,-8,thermo_30c922-a3daf4-tPD5dY.csv
30C922A3F7EC,1,97457,-8,thermo_30c922-a3f7ec-wTTG7X.csv
30C922A3FF08,1,95621,-8,thermo_30c922-a3ff08-GMMtbU.csv
30C922A3FDE4,3,91768,-8,thermo_30c922-a3fde4-nNUfI7.csv
A842E3B07678,1,95223,-8,thermo_a842e3-b07678-IdclTV.csv
E465B87F0334,3,94523,-8,thermo_e465b8-7f0334-2guVwE.csv
D48AFC65939C,2,95051,-8,thermo_d48afc-65939c-f9Knh0.csv
E86BEADC9868,1,97526,-8,thermo_e86bea-dc9868-wtDoI2.csv
30C922A3E644,1,97006,-8,thermo_30c922-a3e644-nHrbxz.csv
E86BEADC7564,3,95125,-8,thermo_e86bea-dc7564-APitN8.csv
30C922A3DC44,3,91354,-8,thermo_30c922-a3dc44-2TmKCt.csv
