thermostat_id,equipment_type,zipcode,utc_offset,interval_data_filename
80646FFD5644,2,90029,-8,thermo_80646f-fd5644-TKgaHO.csv
30C922A3F6AC,1,91762,-8,thermo_30c922-a3f6ac-Mjgsmk.csv
A0DD6C0097C4,2,91423,-8,thermo_a0dd6c-0097c4-HIgGdf.csv
B0A732C48CBC,2,97213,-8,thermo_b0a732-c48cbc-K1BYFn.csv
80646FFD581C,2,98106,-8,thermo_80646f-fd581c-ROCZmq.csv
24DCC3A02600,1,98052,-8,thermo_24dcc3-a02600-pMnIiS.csv
5443B2FA3708,3,92399,-8,thermo_5443b2-fa3708-GIEUnn.csv
08D1F98091E0,2,97130,-8,thermo_08d1f9-8091e0-Lh2rkN.csv
5443B2FAF0D4,3,89178,-8,thermo_5443b2-faf0d4-KrKMHd.csv
24DCC3A1750C,3,91915,-8,thermo_24dcc3-a1750c-QTPF7J.csv
80646FFD7D4C,2,95966,-8,thermo_80646f-fd7d4c-lAgnAH.csv
5443B2FAFD34,3,93312,-8,thermo_5443b2-fafd34-I6BngE.csv
80646FFD5AD8,2,92084,-8,thermo_80646f-fd5ad8-NIqD3G.csv
A842E3B07CCC,1,97526,-8,thermo_a842e3-b07ccc-R19ACR.csv
80646FFDECAC,2,98107,-8,thermo_80646f-fdecac-5z3GBb.csv
80646FFD52A0,2,97760,-8,thermo_80646f-fd52a0-jT6s1n.csv
80646FFD54E4,2,92084,-8,thermo_80646f-fd54e4-Nlykti.csv
5443B2FADEFC,4,94403,-8,thermo_5443b2-fadefc-3CzjKI.csv
80646FFDEF48,2,98230,-8,thermo_80646f-fdef48-V6ODY0.csv
80646FFDDEE8,2,97405,-8,thermo_80646f-fddee8-sbQMVh.csv
08D1F9839FC8,2,94089,-8,thermo_08d1f9-839fc8-CYNsrF.csv
80646FFD5C4C,2,97701,-8,thermo_80646f-fd5c4c-X24IU7.csv
80646FFDDBB0,2,95926,-8,thermo_80646f-fddbb0-67nbaa.csv
5443B2FB15E0,3,93312,-8,thermo_5443b2-fb15e0-A48GB2.csv
80646FFD6E0C,2,95128,-8,thermo_80646f-fd6e0c-ES9RLt.csv
A0DD6C009B4C,2,98059,-8,thermo_a0dd6c-009b4c-EfiHXq.csv
5443B2FAF6CC,3,92344,-8,thermo_5443b2-faf6cc-Cv33Gv.csv
A842E3B079B4,3,97502,-8,thermo_a842e3-b079b4-0DgoDg.csv
24DCC3A1A57C,3,92563,-8,thermo_24dcc3-a1a57c-Xxakh4.csv
A0DD6C009A18,2,97702,-8,thermo_a0dd6c-009a18-bXNwRZ.csv
80646FFD7514,2,97478,-8,thermo_80646f-fd7514-KwvIEQ.csv
08D1F981D82C,2,94089,-8,thermo_08d1f9-81d82c-rqo0VV.csv
B0A732C48CF0,2,89040,-8,thermo_b0a732-c48cf0-5FAgYy.csv
B0A732C3F50C,3,95747,-8,thermo_b0a732-c3f50c-wZFja9.csv
5443B2FAFE14,4,94801,-8,thermo_5443b2-fafe14-KOdhiD.csv
80646FFD7418,2,97206,-8,thermo_80646f-fd7418-8npqM5.csv
30C922A3DC44,3,91354,-8,thermo_30c922-a3dc44-2TmKCt.csv
B0A732C56758,2,98387,-8,thermo_b0a732-c56758-VmBXmT.csv
08D1F9838A1C,2,98115,-8,thermo_08d1f9-838a1c-9HOAeb.csv
A0DD6C009AB8,2,96003,-8,thermo_a0dd6c-009ab8-6351mB.csv
5443B2FAFE44,3,95757,-8,thermo_5443b2-fafe44-yNyxPv.csv
80646FFD5178,2,97438,-8,thermo_80646f-fd5178-zRxYnR.csv
80646FFD703C,2,94303,-8,thermo_80646f-fd703c-ggLAGU.csv
80646FFD6880,2,98118,-8,thermo_80646f-fd6880-qhvDO9.csv
80646FFDF014,2,98012,-8,thermo_80646f-fdf014-lTOYsx.csv
80646FFD5ED4,2,95122,-8,thermo_80646f-fd5ed4-z5Zmho.csv
80646FFD5EE4,2,98199,-8,thermo_80646f-fd5ee4-4k6lbI.csv
5443B2FB186C,4,94403,-8,thermo_5443b2-fb186c-RrGWOZ.csv
5443B2F9DD20,3,97405,-8,thermo_5443b2-f9dd20-RJdJP1.csv
A0DD6C0095DC,2,98367,-8,thermo_a0dd6c-0095dc-W7ABoi.csv
10061CF2C368,2,98501,-8,thermo_10061c-f2c368-fEeFKO.csv
B0A732C476F8,2,94710,-8,thermo_b0a732-c476f8-pwtNZj.csv
A842E3B079A0,3,92225,-8,thermo_a842e3-b079a0-ZKXQa8.csv
80646FFD8410,2,98144,-8,thermo_80646f-fd8410-t7q7Ur.csv
A842E3B0794C,3,93312,-8,thermo_a842e3-b0794c-dndSfZ.csv
5443B2FAFD00,1,98338,-8,thermo_5443b2-fafd00-g0rLUv.csv
08D1F9803754,2,98115,-8,thermo_08d1f9-803754-75pc8c.csv
5443B2FAFC40,3,93312,-8,thermo_5443b2-fafc40-JPEkSN.csv
80646FFDE500,2,98346,-8,thermo_80646f-fde500-lJany8.csv
5443B2FB2C80,4,98021,-8,thermo_5443b2-fb2c80-DTTmI2.csv
80646FFDD95C,2,92691,-8,thermo_80646f-fdd95c-aiZoQl.csv
80646FFD49D0,2,98029,-8,thermo_80646f-fd49d0-ZEzIdc.csv
80646FFDE1C4,2,98275,-8,thermo_80646f-fde1c4-BWXclC.csv
A0DD6C009718,2,97222,-8,thermo_a0dd6c-009718-ALGyWv.csv
5443B2F9C5B0,3,92532,-8,thermo_5443b2-f9c5b0-cfnFc9.csv
24DCC39FC70C,3,91913,-8,thermo_24dcc3-9fc70c-ufKwSm.csv
80646FFD6878,2,98109,-8,thermo_80646f-fd6878-s6MMXU.csv
80646FFD7B20,2,95128,-8,thermo_80646f-fd7b20-voIs9A.csv
80646FFD49C4,2,98122,-8,thermo_80646f-fd49c4-q1tbCC.csv
A0DD6C009954,2,92264,-8,thermo_a0dd6c-009954-oxCmMT.csv
80646FFDDA98,2,98107,-8,thermo_80646f-fdda98-wny0Ih.csv
80646FFD489C,2,92270,-8,thermo_80646f-fd489c-RzEAEg.csv
24DCC3AFE770,2,60611,-8,thermo_24dcc3-afe770-JqZcSr.csv
